Bornholdt baseline run (lattice or network)
params: {'topology': 'lattice', 'L': 32, 'n': None, 'net_params': {'m': 2, 'k': 4, 'p': 0.1}, 'J': 1.0, 'alpha': 8.0, 'T': 1.5, 'seed': 0, 'n_steps': 20000, 'burn_in': 10000, 'thin': 1, 'eps': 1e-06}
columns: t,M,r,abs_r,C_mean,chartist_frac,fundamentalist_frac
1.011600000000000000e+04,-8.593750000000000000e-02,1.076116936361180887e+00,1.076116936361180887e+00,8.593750000000000000e-02,4.570312500000000000e-01,5.429687500000000000e-01
1.011700000000000000e+04,-8.007812500000000000e-02,-7.061671578298156504e-02,7.061671578298156504e-02,8.007812500000000000e-02,4.599609375000000000e-01,5.400390625000000000e-01
1.011800000000000000e+04,-1.074218750000000000e-01,2.937579398488368021e-01,2.937579398488368021e-01,1.074218750000000000e-01,4.462890625000000000e-01,5.537109375000000000e-01
1.011900000000000000e+04,-8.789062500000000000e-02,-2.006686267966797388e-01,2.006686267966797388e-01,8.789062500000000000e-02,4.560546875000000000e-01,5.439453125000000000e-01
1.012000000000000000e+04,-9.960937500000000000e-02,1.251618044062485779e-01,1.251618044062485779e-01,9.960937500000000000e-02,4.501953125000000000e-01,5.498046875000000000e-01
1.012100000000000000e+04,-4.882812500000000000e-02,-7.129393672311312713e-01,7.129393672311312713e-01,4.882812500000000000e-02,4.755859375000000000e-01,5.244140625000000000e-01
1.012200000000000000e+04,-1.230468750000000000e-01,9.242465486841475730e-01,9.242465486841475730e-01,1.230468750000000000e-01,4.384765625000000000e-01,5.615234375000000000e-01
1.012300000000000000e+04,-1.210937500000000000e-01,-1.600021026712594718e-02,1.600021026712594718e-02,1.210937500000000000e-01,4.394531250000000000e-01,5.605468750000000000e-01
1.012400000000000000e+04,-1.015625000000000000e-01,-1.758890783887094855e-01,1.758890783887094855e-01,1.015625000000000000e-01,4.492187500000000000e-01,5.507812500000000000e-01
1.012500000000000000e+04,-1.074218750000000000e-01,5.608892959325029182e-02,5.608892959325029182e-02,1.074218750000000000e-01,4.462890625000000000e-01,5.537109375000000000e-01
