t,M,r,abs_r,C_mean,chartist_frac,fundamentalist_frac
2236,-0.23046875,-0.13458960758452787,0.13458960758452787,0.23046875,0.384765625,0.615234375
2237,-0.25,0.08134530047231481,0.08134530047231481,0.25,0.375,0.625
2238,-0.283203125,0.12470300953720592,0.12470300953720592,0.283203125,0.3583984375,0.6416015625
2239,-0.28125,-0.006920418323587807,0.006920418323587807,0.28125,0.359375,0.640625
2240,-0.2734375,-0.028170775379761093,0.028170775379761093,0.2734375,0.36328125,0.63671875
2241,-0.271484375,-0.007168463168328865,0.007168463168328865,0.271484375,0.3642578125,0.6357421875
2242,-0.2734375,0.007168463168328865,0.007168463168328865,0.2734375,0.36328125,0.63671875
2243,-0.244140625,-0.11332824645156148,0.11332824645156148,0.244140625,0.3779296875,0.6220703125
2244,-0.263671875,0.07696073772991752,0.07696073772991752,0.263671875,0.3681640625,0.6318359375
2245,-0.26953125,0.021978824271419395,0.021978824271419395,0.26953125,0.365234375,0.634765625
2246,-0.248046875,-0.08306627734872163,0.08306627734872163,0.248046875,0.3759765625,0.6240234375
2247,-0.26953125,0.08306627734872163,0.08306627734872163,0.26953125,0.365234375,0.634765625
2248,-0.255859375,-0.05205616370478938,0.05205616370478938,0.255859375,0.3720703125,0.6279296875
2249,-0.267578125,0.04478343145695862,0.04478343145695862,0.267578125,0.3662109375,0.6337890625
2250,-0.25,-0.0679503991358017,0.0679503991358017,0.25,0.375,0.625
2251,-0.244140625,-0.023716430617704454,0.023716430617704454,0.244140625,0.3779296875,0.6220703125
2252,-0.20703125,-0.16487390900483145,0.16487390900483145,0.20703125,0.396484375,0.603515625
2253,-0.3125,0.41173309093962573,0.41173309093962573,0.3125,0.34375,0.65625
2254,-0.22265625,-0.3389740756162267,0.3389740756162267,0.22265625,0.388671875,0.611328125
2255,-0.25,0.1158313242991369,0.1158313242991369,0.25,0.375,0.625
2256,-0.2265625,-0.09843965902188967,0.09843965902188967,0.2265625,0.38671875,0.61328125
2257,-0.251953125,0.10622176845631626,0.10622176845631626,0.251953125,0.3740234375,0.6259765625
2258,-0.23828125,-0.05579113190028173,0.05579113190028173,0.23828125,0.380859375,0.619140625
